"id","type","form","gloss","pos","pos_condition","comment"
,"verb","nax̌ti","go_out","V",,
,"verb","nax̌tīz","go_out","V",,
,"verb","nax̌tī","go_out","V",,
,"verb","nax̌toy","go_out.F/PL","V",,
,"verb","nax̌tūy","go_out.M.SG","V",,
,,"pis","GOAL","PREP",,"цель (‘сходи за дровами’)"
,,"vaz","goat","N",,
,,"xuδoy","God","N",,
,,"xuδowand","God","N",,
,,"xuδo","God","N",,
,,"bašānd","good","N",,
,,"xub","good","N",,
,,"šukrat","gratitude","N",,
,,"δust","hand","N",,
,,"xuš","happy","N",,
,,"xušbaxt","happy","N",,
,,"ač","hardly","PRT",,
,"verb","δêr","have","V",,
,"verb","δoy","have.F/PL","V",,
,"verb","δūy","have.M.SG","V",,
,"suffix","-ā","HB","N.AFF","< ? N","habitive"
,"suffix","-dor","HB","N.AFF","< ? N","хабитив (‘имеющий руки’)"
,,"kāl","head","N",,
,"verb","x̌in","hear","V",,
,"verb","x̌īn","hear","V",,
,"verb","x̌uδ","hear","V",,
,,"salům","hello","N",,
,,"yordam","help","N",,
,,"xāy","HEZ","PRT",,
,,"umeδ","hope","N",,
,,"vorǰ","? horse / stallion","N",,
,,"vêrʒ","mare","N",,
,,"soat","hour","N",,
,,"čīd","house","N",,
,,"xůnā","house","N",,
,,"xonā","house","N",,
,,"carāng","how","PRO",,
,,"cůnd","how_much","PRO",,
,,"aga","if","CONJ",,
,,"dar","INC","PRT",,
,,"yigůn","INDEF.ADV","PRO",,
,,"par","INS","PREP",,"инструменталис"
,,"darūn","inside","N",,
,,"ani","isnt_it","PRT",,
,,"anê","isnt_it","PRT",,
,,"yeso","Jesus","N",,
,"verb","anǰāv","keep","V",,
,"verb","anǰā","keep","V",,
,"verb","anǰīv","keep","V",,
,"verb","anǰūv","keep","V",,
,"verb","anǰa","keep","V",,
,,"xaraɣ","Kharagh","N",,
,"suffix","-xel","KIND","POST",,
,,"xel","KIND","POST",,"tama xel (‘как вы’)"
,,"potx̌o","king","N",,
,,"mālum","known","N",,
,"verb","šīn","laugh","V",,
,"verb","weδ","lay","V",,
,"verb","tī","leave","? V",,
,,"čāp","left","N",,
,"verb","lāk","let","? PV / CONJ",,
,,"noto","lets_say","PRT",,
,"verb","sen","lift","V",,
,"suffix","-ec","LIM2","POST",,"пространственный и временной лимитатив (‘до осени’, ‘до Хорога’), инструменталис (‘топором’)"
,"suffix","-yec","LIM2","POST",,
,"suffix","-and","LOC","POST",,"локатив (‘в доме’), личный локатив (‘у нас’)"
,"suffix","-andi","LOC","POST",,"локатив (‘в доме’), личный локатив (‘у нас’)"
,"suffix","-ndi","LOC","POST",,"локатив (‘в доме’), личный локатив (‘у нас’)"
,"suffix","-ndīr","LOC","POST",,"локатив (‘в доме’), личный локатив (‘у нас’)"
,"suffix","-ndir","LOC","POST",,"локатив (‘в доме’), личный локатив (‘у нас’)"
,"suffix","-andīr","LOC","POST",,"локатив (‘в доме’), личный локатив (‘у нас’)"
,"suffix","-yandīr","LOC","POST",,"локатив (‘в доме’), личный локатив (‘у нас’)"
,"suffix","-nd","LOC","POST",,"локатив (‘в доме’), личный локатив (‘у нас’)"
,"suffix","-yand","LOC","POST",,
,,"daroz","long","N",,
,"verb","čos","look","V",,
,"verb","čūx̌","look","V",,
,"verb","žīwǰ","love","V",,
,,"čorik","man","N",,
,,"čorik","man","N",,
,,"baɣer","maybe","PRT",,
,,"mumkin","maybe","PRT",,
,,"gūx̌t","meat","N",,
,,"yoδ","memory","N",,
,,"minūt","minute","N",,
,,"sār","morning","N",,
,,"sāraki","morning","N",,
,,"sar","? most / beginning","N",,
,,"nān","mother","N",,
,,"kū","mountain","N",,
,,"kata","much","? N",,
,,"bisyor","much","N",,
,,"fanā","much","N",,
,,"lap","much","PRT",,
,,"boyad","must","PRT",,
,,"nům","name","N",,
,,"lozum","necessary","N",,
